{'views': 15625684, 'danmu': 260726, 'coins': 435371, 'series_follow': 4470858, 'time': '2020-01-29-17:28:07'}
{'views': 16759225, 'danmu': 282314, 'coins': 452919, 'series_follow': 4504447, 'time': '2020-02-01-03:28:17'}
{'views': 16781993, 'danmu': 282703, 'coins': 453255, 'series_follow': 4504706, 'time': '2020-02-01-04:28:17'}
{'views': 16795761, 'danmu': 282897, 'coins': 453444, 'series_follow': 4504859, 'time': '2020-02-01-05:28:17'}
{'views': 16807179, 'danmu': 283047, 'coins': 453680, 'series_follow': 4504962, 'time': '2020-02-01-06:28:17'}
{'views': 16825791, 'danmu': 283299, 'coins': 454091, 'series_follow': 4505085, 'time': '2020-02-01-07:28:18'}
{'views': 16868753, 'danmu': 283902, 'coins': 455175, 'series_follow': 4505384, 'time': '2020-02-01-08:28:18'}
{'views': 16940100, 'danmu': 284841, 'coins': 456861, 'series_follow': 4505876, 'time': '2020-02-01-09:28:18'}
{'views': 17030126, 'danmu': 286307, 'coins': 458793, 'series_follow': 4506527, 'time': '2020-02-01-10:28:18'}
{'views': 17137064, 'danmu': 287839, 'coins': 460869, 'series_follow': 4507481, 'time': '2020-02-01-11:28:18'}
{'views': 17252530, 'danmu': 289520, 'coins': 462983, 'series_follow': 4508682, 'time': '2020-02-01-12:28:18'}
{'views': 17362957, 'danmu': 291250, 'coins': 465246, 'series_follow': 4509850, 'time': '2020-02-01-13:28:19'}
{'views': 17450598, 'danmu': 292724, 'coins': 467508, 'series_follow': 4510982, 'time': '2020-02-01-14:28:19'}
{'views': 17526495, 'danmu': 293890, 'coins': 469592, 'series_follow': 4512116, 'time': '2020-02-01-15:28:19'}
{'views': 17597550, 'danmu': 294950, 'coins': 471473, 'series_follow': 4513198, 'time': '2020-02-01-16:28:19'}
{'views': 17670140, 'danmu': 295896, 'coins': 473143, 'series_follow': 4514422, 'time': '2020-02-01-17:28:19'}
{'views': 17752179, 'danmu': 296933, 'coins': 475031, 'series_follow': 4515916, 'time': '2020-02-01-18:28:20'}
{'views': 17834337, 'danmu': 298089, 'coins': 476981, 'series_follow': 4517555, 'time': '2020-02-01-19:28:20'}
{'views': 17905131, 'danmu': 299043, 'coins': 478674, 'series_follow': 4519000, 'time': '2020-02-01-20:28:20'}
{'views': 17972440, 'danmu': 299975, 'coins': 480215, 'series_follow': 4520564, 'time': '2020-02-01-21:28:20'}
{'views': 18042760, 'danmu': 300988, 'coins': 481844, 'series_follow': 4522199, 'time': '2020-02-01-22:28:20'}
{'views': 18112435, 'danmu': 301949, 'coins': 483397, 'series_follow': 4523951, 'time': '2020-02-01-23:28:21'}
{'views': 18171902, 'danmu': 302855, 'coins': 484769, 'series_follow': 4525493, 'time': '2020-02-02-00:28:21'}
{'views': 18214645, 'danmu': 303355, 'coins': 485707, 'series_follow': 4526641, 'time': '2020-02-02-01:28:21'}
{'views': 18241618, 'danmu': 303659, 'coins': 486278, 'series_follow': 4527402, 'time': '2020-02-02-02:28:21'}
{'views': 18257133, 'danmu': 303855, 'coins': 486627, 'series_follow': 4527808, 'time': '2020-02-02-03:28:21'}
{'views': 18266169, 'danmu': 303948, 'coins': 486815, 'series_follow': 4528069, 'time': '2020-02-02-04:28:22'}
{'views': 18272365, 'danmu': 304005, 'coins': 486942, 'series_follow': 4528275, 'time': '2020-02-02-05:28:22'}
{'views': 18277246, 'danmu': 304017, 'coins': 487017, 'series_follow': 4528422, 'time': '2020-02-02-06:28:22'}
{'views': 18283372, 'danmu': 304057, 'coins': 487122, 'series_follow': 4528581, 'time': '2020-02-02-07:28:22'}
{'views': 18295835, 'danmu': 304141, 'coins': 487332, 'series_follow': 4528824, 'time': '2020-02-02-08:28:22'}
{'views': 18317618, 'danmu': 304323, 'coins': 487747, 'series_follow': 4529386, 'time': '2020-02-02-09:28:22'}
{'views': 18350600, 'danmu': 304586, 'coins': 488422, 'series_follow': 4530213, 'time': '2020-02-02-10:28:23'}
{'views': 18390420, 'danmu': 304978, 'coins': 489164, 'series_follow': 4531289, 'time': '2020-02-02-11:28:23'}
{'views': 18434969, 'danmu': 305428, 'coins': 489909, 'series_follow': 4532443, 'time': '2020-02-02-12:28:23'}
{'views': 18482213, 'danmu': 305972, 'coins': 490783, 'series_follow': 4533661, 'time': '2020-02-02-13:28:23'}
{'views': 18526489, 'danmu': 306470, 'coins': 491637, 'series_follow': 4534865, 'time': '2020-02-02-14:28:23'}
{'views': 18566977, 'danmu': 306948, 'coins': 492337, 'series_follow': 4536046, 'time': '2020-02-02-15:28:24'}
{'views': 18606665, 'danmu': 307423, 'coins': 492996, 'series_follow': 4537188, 'time': '2020-02-02-16:28:24'}
{'views': 18649123, 'danmu': 307802, 'coins': 493712, 'series_follow': 4538503, 'time': '2020-02-02-17:28:24'}
{'views': 18693656, 'danmu': 308275, 'coins': 494400, 'series_follow': 4539809, 'time': '2020-02-02-18:28:24'}
{'views': 18732361, 'danmu': 308640, 'coins': 495006, 'series_follow': 4541059, 'time': '2020-02-02-19:28:24'}
{'views': 18773906, 'danmu': 309007, 'coins': 495660, 'series_follow': 4542313, 'time': '2020-02-02-20:28:25'}
{'views': 18813155, 'danmu': 309409, 'coins': 496294, 'series_follow': 4543516, 'time': '2020-02-02-21:28:25'}
{'views': 18856286, 'danmu': 309847, 'coins': 496999, 'series_follow': 4544977, 'time': '2020-02-02-22:28:25'}
{'views': 18900709, 'danmu': 310333, 'coins': 497735, 'series_follow': 4546509, 'time': '2020-02-02-23:28:25'}
{'views': 18938819, 'danmu': 310671, 'coins': 498409, 'series_follow': 4547894, 'time': '2020-02-03-00:28:25'}
{'views': 18968436, 'danmu': 310952, 'coins': 498852, 'series_follow': 4548934, 'time': '2020-02-03-01:28:26'}
{'views': 18988251, 'danmu': 311095, 'coins': 499159, 'series_follow': 4549725, 'time': '2020-02-03-02:28:26'}
{'views': 19001081, 'danmu': 311258, 'coins': 499347, 'series_follow': 4550177, 'time': '2020-02-03-03:28:26'}
{'views': 19008633, 'danmu': 311320, 'coins': 499463, 'series_follow': 4550452, 'time': '2020-02-03-04:28:26'}
{'views': 19013380, 'danmu': 311341, 'coins': 499519, 'series_follow': 4550597, 'time': '2020-02-03-05:28:26'}
{'views': 19016823, 'danmu': 311365, 'coins': 499559, 'series_follow': 4550733, 'time': '2020-02-03-06:28:27'}
{'views': 19020634, 'danmu': 311377, 'coins': 499623, 'series_follow': 4550853, 'time': '2020-02-03-07:28:27'}
{'views': 19027964, 'danmu': 311419, 'coins': 499716, 'series_follow': 4551061, 'time': '2020-02-03-08:28:27'}
{'views': 19041225, 'danmu': 311498, 'coins': 499894, 'series_follow': 4551482, 'time': '2020-02-03-09:28:27'}
{'views': 19060806, 'danmu': 311655, 'coins': 500176, 'series_follow': 4552099, 'time': '2020-02-03-10:28:28'}
{'views': 19086534, 'danmu': 311831, 'coins': 500555, 'series_follow': 4552994, 'time': '2020-02-03-11:28:28'}
{'views': 19119371, 'danmu': 312053, 'coins': 500978, 'series_follow': 4554027, 'time': '2020-02-03-12:28:28'}
{'views': 19155095, 'danmu': 312346, 'coins': 501476, 'series_follow': 4555111, 'time': '2020-02-03-13:28:28'}
{'views': 19187617, 'danmu': 312582, 'coins': 501961, 'series_follow': 4556133, 'time': '2020-02-03-14:28:28'}
{'views': 19219013, 'danmu': 312807, 'coins': 502463, 'series_follow': 4557118, 'time': '2020-02-03-15:28:29'}
{'views': 19250139, 'danmu': 313034, 'coins': 502897, 'series_follow': 4558164, 'time': '2020-02-03-16:28:29'}
{'views': 19283717, 'danmu': 313394, 'coins': 503334, 'series_follow': 4559330, 'time': '2020-02-03-17:28:29'}
{'views': 19319544, 'danmu': 313742, 'coins': 503831, 'series_follow': 4560634, 'time': '2020-02-03-18:28:29'}
{'views': 19354459, 'danmu': 314052, 'coins': 504272, 'series_follow': 4561775, 'time': '2020-02-03-19:28:29'}
{'views': 19387327, 'danmu': 314353, 'coins': 504698, 'series_follow': 4562890, 'time': '2020-02-03-20:28:30'}
{'views': 19420740, 'danmu': 314685, 'coins': 505109, 'series_follow': 4564088, 'time': '2020-02-03-21:28:30'}
{'views': 19456301, 'danmu': 315005, 'coins': 505561, 'series_follow': 4565381, 'time': '2020-02-03-22:28:30'}
{'views': 19493248, 'danmu': 315316, 'coins': 506045, 'series_follow': 4566839, 'time': '2020-02-03-23:28:30'}
{'views': 19526608, 'danmu': 315550, 'coins': 506474, 'series_follow': 4568077, 'time': '2020-02-04-00:28:30'}
{'views': 19551376, 'danmu': 315731, 'coins': 506800, 'series_follow': 4569076, 'time': '2020-02-04-01:28:31'}
{'views': 19567625, 'danmu': 315835, 'coins': 507011, 'series_follow': 4569756, 'time': '2020-02-04-02:28:31'}
{'views': 19577971, 'danmu': 315912, 'coins': 507147, 'series_follow': 4570211, 'time': '2020-02-04-03:28:31'}
{'views': 19583957, 'danmu': 315955, 'coins': 507223, 'series_follow': 4570465, 'time': '2020-02-04-04:28:31'}
{'views': 19587717, 'danmu': 315978, 'coins': 507264, 'series_follow': 4570637, 'time': '2020-02-04-05:28:32'}
{'views': 19590496, 'danmu': 316010, 'coins': 507303, 'series_follow': 4570736, 'time': '2020-02-04-06:28:32'}
{'views': 19593611, 'danmu': 316016, 'coins': 507338, 'series_follow': 4570868, 'time': '2020-02-04-07:28:32'}
{'views': 19599593, 'danmu': 316035, 'coins': 507424, 'series_follow': 4571074, 'time': '2020-02-04-08:28:32'}
{'views': 19610335, 'danmu': 316082, 'coins': 507565, 'series_follow': 4571420, 'time': '2020-02-04-09:28:32'}
{'views': 19625102, 'danmu': 316165, 'coins': 507750, 'series_follow': 4571957, 'time': '2020-02-04-10:28:33'}
{'views': 19646026, 'danmu': 316333, 'coins': 508012, 'series_follow': 4572732, 'time': '2020-02-04-11:28:33'}
{'views': 19671109, 'danmu': 316506, 'coins': 508346, 'series_follow': 4573585, 'time': '2020-02-04-12:28:33'}
{'views': 19699133, 'danmu': 316692, 'coins': 508688, 'series_follow': 4574454, 'time': '2020-02-04-13:28:33'}
{'views': 19725169, 'danmu': 316914, 'coins': 509042, 'series_follow': 4575337, 'time': '2020-02-04-14:28:33'}
{'views': 19750582, 'danmu': 317131, 'coins': 509329, 'series_follow': 4576225, 'time': '2020-02-04-15:28:34'}
{'views': 19775156, 'danmu': 317307, 'coins': 509635, 'series_follow': 4577054, 'time': '2020-02-04-16:28:34'}
{'views': 19802029, 'danmu': 317508, 'coins': 509949, 'series_follow': 4578002, 'time': '2020-02-04-17:28:34'}
{'views': 19831260, 'danmu': 317749, 'coins': 510266, 'series_follow': 4578998, 'time': '2020-02-04-18:28:34'}
{'views': 19860080, 'danmu': 318085, 'coins': 510594, 'series_follow': 4580004, 'time': '2020-02-04-19:28:35'}
{'views': 19888136, 'danmu': 318374, 'coins': 510938, 'series_follow': 4581038, 'time': '2020-02-04-20:28:35'}
{'views': 19915502, 'danmu': 318620, 'coins': 511223, 'series_follow': 4581949, 'time': '2020-02-04-21:28:35'}
{'views': 19945424, 'danmu': 318874, 'coins': 511564, 'series_follow': 4583112, 'time': '2020-02-04-22:28:35'}
{'views': 19975954, 'danmu': 319136, 'coins': 511930, 'series_follow': 4584344, 'time': '2020-02-04-23:28:35'}
{'views': 20003166, 'danmu': 319366, 'coins': 512285, 'series_follow': 4585511, 'time': '2020-02-05-00:28:36'}
{'views': 20023382, 'danmu': 319531, 'coins': 512556, 'series_follow': 4586429, 'time': '2020-02-05-01:28:36'}
{'views': 20037721, 'danmu': 319627, 'coins': 512726, 'series_follow': 4587070, 'time': '2020-02-05-02:28:36'}
{'views': 20046695, 'danmu': 319673, 'coins': 512813, 'series_follow': 4587459, 'time': '2020-02-05-03:28:36'}
{'views': 20052240, 'danmu': 319711, 'coins': 512868, 'series_follow': 4587698, 'time': '2020-02-05-04:28:37'}
{'views': 20055701, 'danmu': 319731, 'coins': 512903, 'series_follow': 4587864, 'time': '2020-02-05-05:28:37'}
{'views': 20058229, 'danmu': 319746, 'coins': 512942, 'series_follow': 4587954, 'time': '2020-02-05-06:28:37'}
{'views': 20060771, 'danmu': 319758, 'coins': 512962, 'series_follow': 4588066, 'time': '2020-02-05-07:28:37'}
{'views': 20065750, 'danmu': 319775, 'coins': 513033, 'series_follow': 4588266, 'time': '2020-02-05-08:28:37'}
{'views': 20074546, 'danmu': 319817, 'coins': 513150, 'series_follow': 4588571, 'time': '2020-02-05-09:28:38'}
{'views': 20087624, 'danmu': 319939, 'coins': 513332, 'series_follow': 4589067, 'time': '2020-02-05-10:28:38'}
{'views': 20104176, 'danmu': 320079, 'coins': 513555, 'series_follow': 4589685, 'time': '2020-02-05-11:28:38'}
{'views': 20125114, 'danmu': 320266, 'coins': 513822, 'series_follow': 4590485, 'time': '2020-02-05-12:28:38'}
{'views': 20148504, 'danmu': 320443, 'coins': 514093, 'series_follow': 4591315, 'time': '2020-02-05-13:28:38'}
{'views': 20169688, 'danmu': 320597, 'coins': 514406, 'series_follow': 4592052, 'time': '2020-02-05-14:28:39'}
{'views': 20189418, 'danmu': 320780, 'coins': 514669, 'series_follow': 4592718, 'time': '2020-02-05-15:28:39'}
{'views': 20209925, 'danmu': 320964, 'coins': 514894, 'series_follow': 4593521, 'time': '2020-02-05-16:28:39'}
{'views': 20231540, 'danmu': 321086, 'coins': 515127, 'series_follow': 4594374, 'time': '2020-02-05-17:28:39'}
{'views': 20256281, 'danmu': 321251, 'coins': 515403, 'series_follow': 4595285, 'time': '2020-02-05-18:28:40'}
{'views': 20280242, 'danmu': 321447, 'coins': 515686, 'series_follow': 4596095, 'time': '2020-02-05-19:28:40'}
{'views': 20303697, 'danmu': 321637, 'coins': 515966, 'series_follow': 4597031, 'time': '2020-02-05-20:28:40'}
{'views': 20328043, 'danmu': 321878, 'coins': 516302, 'series_follow': 4597996, 'time': '2020-02-05-21:28:40'}
{'views': 20352876, 'danmu': 322162, 'coins': 516617, 'series_follow': 4598992, 'time': '2020-02-05-22:28:40'}
{'views': 20377521, 'danmu': 322379, 'coins': 516888, 'series_follow': 4600020, 'time': '2020-02-05-23:28:41'}
{'views': 20400014, 'danmu': 322495, 'coins': 517207, 'series_follow': 4600932, 'time': '2020-02-06-00:28:41'}
{'views': 20417377, 'danmu': 322628, 'coins': 517417, 'series_follow': 4601669, 'time': '2020-02-06-01:28:41'}
{'views': 20429691, 'danmu': 322716, 'coins': 517574, 'series_follow': 4602199, 'time': '2020-02-06-02:28:41'}
{'views': 20437129, 'danmu': 322758, 'coins': 517668, 'series_follow': 4602522, 'time': '2020-02-06-03:28:42'}
{'views': 20441609, 'danmu': 322791, 'coins': 517723, 'series_follow': 4602728, 'time': '2020-02-06-04:28:42'}
{'views': 20444747, 'danmu': 322803, 'coins': 517765, 'series_follow': 4602854, 'time': '2020-02-06-05:28:42'}
{'views': 20447016, 'danmu': 322813, 'coins': 517784, 'series_follow': 4602940, 'time': '2020-02-06-06:28:42'}
{'views': 20449407, 'danmu': 322825, 'coins': 517804, 'series_follow': 4603052, 'time': '2020-02-06-07:28:42'}
{'views': 20453757, 'danmu': 322864, 'coins': 517854, 'series_follow': 4603234, 'time': '2020-02-06-08:28:43'}
{'views': 20461198, 'danmu': 322938, 'coins': 517941, 'series_follow': 4603504, 'time': '2020-02-06-09:28:43'}
{'views': 20472408, 'danmu': 323014, 'coins': 518056, 'series_follow': 4603934, 'time': '2020-02-06-10:28:43'}
{'views': 20487180, 'danmu': 323104, 'coins': 518230, 'series_follow': 4604475, 'time': '2020-02-06-11:28:43'}
{'views': 20506350, 'danmu': 323239, 'coins': 518459, 'series_follow': 4605151, 'time': '2020-02-06-12:28:44'}
{'views': 20528161, 'danmu': 323408, 'coins': 518735, 'series_follow': 4605955, 'time': '2020-02-06-13:28:44'}
{'views': 20547522, 'danmu': 323563, 'coins': 518989, 'series_follow': 4606606, 'time': '2020-02-06-14:28:44'}
{'views': 20566300, 'danmu': 323710, 'coins': 519250, 'series_follow': 4607333, 'time': '2020-02-06-15:28:44'}
{'views': 20585417, 'danmu': 323824, 'coins': 519484, 'series_follow': 4608024, 'time': '2020-02-06-16:28:45'}
{'views': 20605994, 'danmu': 323993, 'coins': 519717, 'series_follow': 4608748, 'time': '2020-02-06-17:28:45'}
{'views': 20627329, 'danmu': 324160, 'coins': 519969, 'series_follow': 4609575, 'time': '2020-02-06-18:28:45'}
{'views': 20648673, 'danmu': 324376, 'coins': 520200, 'series_follow': 4610362, 'time': '2020-02-06-19:28:45'}
